OBJECTID,Facility_N,Type,Owner,County,Sub_County,Division,Location,Sub_Locati,Constituen,Nearest_To,Latitude,Longitude
2444,Gus Dispensary,Dispensary,Ministry of Health,Marsabit,North Horr,North Horr,Galassa,Galassa,NORTH HORR,North Horr,3.06787,36.82846
2445,Guticha Dispensary,Dispensary,Ministry of Health,Mandera,Mandera North,Ashabito,Guticha,Guticha,MANDERA CENTRAL,Ashabito,3.5878,40.83431
2446,Guyana Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Trans Nzoia,Trans Nzoia East,Kaplamai,Kaplamai,Kimoson,CHERANGANI,Kitale,1.02872,35.11927
2447,Gwitembe Health Centre,Health Centre,Ministry of Health,Migori,Kuria East,Kwiho,Bwirege East,Gwitembe,KURIA,Gwitembe,-1.37063,34.71086
2448,Gynapaed Dispensary (Kilimani-),Dispensary,Private Enterprise (Institution),Nairobi,Dagoretti North,Kilimani,Kilimani, ,DAGORETTI NORTH,Nairobi,-1.29483,36.8064
2449,Gynocare Centre Maternity Home,Maternity Home,Private Practice - Medical Specialist,Uasin Gishu,Eldoret East,Ainapkoi,Kapsoya,Kapsoya,ELDORET EAST,Eldoret,0.51502,35.2791
2450,Habaswein District Hospital,District Hospital,Ministry of Health,Wajir,Habaswein,Habaswein,Habaswein,Habaswein,WAJIR SOUTH,Habaswein,1.02714,39.50908
2451,Hadado Health Centre,Health Centre,Ministry of Health,Wajir,Wajir West,Hadado,Hadado,Hadado,WAJIR WEST,Griftu,1.52765,39.42934
2452,Hagadera Hospital,Other Hospital,Non-Governmental Organizations,Garissa,Fafi,Jarajilla,Jarajilla,Jarajilla,FAFI,Hagadera,0.01072,40.37151
2453,Hagarbul Dispensary,Dispensary,Ministry of Health,Garissa,Dadaab,Dertu,Dertu,Dertu,LAGDERA, ,-0.09702,39.98564
2454,Hagarjarir Dispensary,Dispensary,Ministry of Health,Garissa,Lagdera, , , ,LAGDERA, ,0.90807,39.20009
2455,Haifa Med Clinic,Medical Clinic,Private Practice - Clinical Officer,Makueni,Mbooni West,Mbooni,Mbooni,Mutitu,MAKUENI,Kikima,-1.6594,37.44871
2456,Hakati Medical Clinic,Medical Clinic,Private Enterprise (Institution),Nairobi,Embakasi Central,Embakasi,Kayole,Embakasi,EMBAKASI CENTRAL,Nairobi,-1.32065,36.9336
2457,Hakuna Matata Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Machakos,Machakos,Kalama,Kyangala,Kyangala,MACHAKOS TOWN,Kyangala,-1.60604,37.32701
2458,Halfeez Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Turkana,Turkana West,Lokichoggio,Lokichoggio,Lokichoggio,TURKANA WEST,Lokichoggio,4.20614,34.35812
2459,Hallal Medical Clinic,Medical Clinic,Private Enterprise (Institution),Nairobi,Kamukunji, , , ,KAMUKUNJI, ,-1.27565,36.85112
2460,Ham Medical Clinic,Medical Clinic,Private Enterprise (Institution),Kiambu,Thika West,Juja,Kiaora,Kiaora,JUJA,Thika,-1.07444,36.9855
2461,Hamey Dispensary,Dispensary,Ministry of Health,Garissa,Dadaab,Damajale,Damajale,Damajale,LAGDERA, ,0,39.21363
2462,Hamisi Sub District Hospital,Sub-District Hospital,Ministry of Health,Vihiga,Hamisi,Jepkoyai,Gisambai,Gavudunyi,HAMISI,Mbale,0.07351,34.80206
2463,Hamsadam Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Machakos,Machakos,Mathatani,kinanie,kyumbi,KATHIANI,kyumbi,-1.53485,37.13206
2464,Hamundia Health Centre,Health Centre,Ministry of Health,Kiambu,Ruiru,Ruiru,Ruiru,Theta,JUJA,Ruiru,-1.1631,36.99889
2465,Hamza Medical Centre,Medical Clinic,Private Practice - Clinical Officer,Nairobi,Makadara,Makadara,Makadara,Hamza,MAKADARA,Hamza,-1.296,36.87331
2466,Hamza Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Wajir,Wajir North,Bute,Bute,Bute,WAJIR NORTH,Bute town at Makutano,3.35904,39.42013
2467,Handaro Dispensary,Dispensary,Ministry of Health,Garissa,Hulugho,Sangailu,Handaro,Handaro,IJARA,Sangailu town,-1.45253,40.65894
2468,Happy Magwagwa Clinic,Medical Clinic,Private Enterprise (Institution),Nyamira,Nyamira North,Nyamusi,Bokiera,Magwagwa,NORTH MUGIRANGO,Magwagwa,-0.48306,35.02304
2469,Hara Health Centre,Health Centre,Ministry of Health,Garissa,Ijara,Masalani,Hara,Hara,IJARA,Masalani Town,-1.8508,40.22877
2470,Haraka Dispensary,Dispensary,Ministry of Health,Nyandarua,Kinangop,Kinangop,Magumu,Bamboo,KINANGOP,Haraka Township,-0.82333,36.56202
2471,Haraka Medical Clinic,Medical Clinic,Private Practice - Unspecified,Nyandarua,Kinangop,Magumu,Magumu,Bamboo,KINANGOP,Kanyua Market,-0.77157,36.60007
2472,Harbole Dispensary,Dispensary,Ministry of Health,Garissa,Fafi,Jarajilla, , ,FAFI,Fafi,0.26111,40.20274
2473,Hardship Medical Clinic,Medical Clinic,Private Enterprise (Institution),Machakos,Athi River,Athi River,Athi River,Athi River Town,KATHIANI,Athi River,-1.46156,36.9838
2474,Hareri Dispensary,Dispensary,Ministry of Health,Mandera,Mandera East,Hareri,Hareri,Hareri,MANDERA EAST,Mandera,3.94695,41.47297
2475,Hareri Hosle Dispensary,Dispensary,Ministry of Health,Mandera,Mandera East,Khalalio,Hareri Hosle,Hareri Hosle,MANDERA EAST,Hareri Hosle,3.94832,41.86415
2476,Hargal Dispensary,Dispensary,Ministry of Health,Wajir,Tarbaj,Sarman,Hargal,Hargal,WAJIR EAST,Dambas,2.36309,39.88106
2477,Harmony Medical Clinic,Dispensary,Private Practice - Nurse / Midwife,Siaya,Gem,Wagai,North West Gem,Sirembe,GEM,Sirembe Market,0.09774,34.39921
2478,Haroresa,Dispensary,Ministry of Health,Tana River,Galole,Galole,Haroresa,Harores,GALOLE,Hola,-1.48638,39.07239
2479,Harrison Mudoga Mc,Medical Clinic,Private Practice - Nurse / Midwife,Trans Nzoia,Trans Nzoia West,Central,Municipality,Mitume,SABOTI,Within Kitale town,1.02028,35.00041
2480,Havillan Medical Center,Medical Clinic,Private Practice - Nurse / Midwife,Kajiado,Kajiado North,Ongata Rongai,Ole Kasasi,Ole Kasasi,KAJIADO NORTH,Ongata Rongai,-1.39561,36.77909
2481,Hawinga Health Centre,Health Centre,Ministry of Health,Siaya,Siaya,Uranga,South West Alego,Kaugagi,ALEGO,Hawinga Market,0.0876,34.16046
2482,Hazina Medical Clinic,Medical Clinic,Private Practice - Medical Specialist,Nairobi,Starehe,central,Central,Central,STAREHE,City Market,-1.2823,36.81619
2483,Health Bridge Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Mandera,Mandera West,Takaba,Takaba,Takaba,MANDERA WEST,Takaba,3.39472,40.22513
2484,Health Care Services,Medical Clinic,Private Practice - General Practitioner,Nairobi,Makadara, , , ,MAKADARA, ,-1.28328,36.87334
2485,Health For All (ACK) Clinic,Dispensary,Christian Health Association of Kenya,Kajiado,Kajiado Central,Central,Township,Market,KAJIADO CENTRAL,Kajiado,-1.84616,36.78732
2486,Health Matters Medical Centre,Medical Clinic,Private Practice - General Practitioner,Nairobi,Starehe,central,Central,Central,STAREHE,City Market,-1.28583,36.83009
2487,Health Mountain Hospital,Other Hospital,Private Enterprise (Institution),Migori,Kuria East,Kegonga,Maeta,Sanchawa,KURIA,Maeta,-1.21052,34.65822
2488,Health Source Medical Centre,Medical Clinic,Private Practice - General Practitioner,Mombasa,Kisauni,Nyali,Kongowea,Maweni,KISAUNI,Kongowea,-4.03215,39.7118
2489,Healthway Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Kajiado,Kajiado North,Ngong,Ongata Rongai,Kandisi,KAJIADO NORTH,Ongata Rongai,-1.38778,36.7523
2490,Healthways Medical Centre,Medical Clinic,Private Enterprise (Institution),Nairobi,Langata,Lang'ata,Nairobi West,South C,LANG'ATA,South C,-1.31598,36.82851
2491,Hebron CFW Clinic,Medical Clinic,Non-Governmental Organizations,Kirinyaga,Kirinyaga South, , , ,MWEA, ,-0.57572,37.32715
2492,Hebron CFW Clinic (Kutus),Medical Clinic,Non-Governmental Organizations,Kirinyaga,Kirinyaga South, , , ,MWEA,Kutus market,-0.57572,37.32715
2493,Heillu Dispensary,Dispensary,Ministry of Health,Marsabit,Moyale,Central,Central,Heillu,MOYALE,Moyale,3.52435,39.07111
2494,Hekima Dispensary,Dispensary,Other Faith Based,Nakuru,Nakuru,Municipality,Baharini,Lake Nakuru,NAKURU TOWN,Nakuru Town,-0.30357,36.08456
2495,Hekima HTC Center,VCT Centre (Stand-Alone),Non-Governmental Organizations,Migori,Kuria West,Kehancha,Bukira East,Igena,KURIA,Kehancha Township,-1.15192,34.44735
2496,Hekima Medical Centre,Medical Clinic,Private Practice - Clinical Officer,Nairobi,Roysambu,Roysambu,Githurai,Githurai 44,ROYSAMBU, ,-1.19956,36.90386
2497,Hekima Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Mombasa,Kisauni,Kisauni,Kisauni,Junda,KISAUNI,Mombasa,-4.01735,39.68485
2498,Helmon Clinic,Medical Clinic,Private Enterprise (Institution),Kajiado,Kajiado North,Ngong,Ongata Rongai,Rongai,KAJIADO NORTH,Kiserian,-1.95261,37.1575
2499,Helna Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Laikipia,Nyahururu,Nyahururu,Nyahururu,Nyahururu,LAIKIPIA WEST,Nyahururu,0.03369,36.36389
2500,Helpers of Mary Dispensary,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Nakuru,Nakuru,Barut,Mwariki,Mwariki,NAKURU TOWN,Mwariki Market,-0.32937,36.05749
2501,Helsamy Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Kisumu,Kisumu East,Winam,Manyatta A,Manyatta A,KISUMU TOWN EAST,Kondele -Manyatta Market,-0.085752,34.77809
2502,Hema Clinic,Nursing Home,Private Enterprise (Institution),Kisii,Masaba South,Rigoma,East Kitutu,Bocharia,KITUTU CHACHE,Township,-0.763271,34.9482
2503,Hema Hospital,Other Hospital,Private Enterprise (Institution),Kisii,Kisii Central,Municipality,Township,Township,NYARIBARI CHACHE,Kisii Town,-0.67496,34.77007
2504,Hema Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Vihiga,Hamisi,Tambua,Tambua,Gamalenga,HAMISI,Gambogi,0.00025,34.73726
2505,Heni Health Centre,Health Centre,Ministry of Health,Nyandarua,Kinangop,North Kinangop,Karati,Magumu,KINANGOP,Heni,-0.78389,36.55767
2506,Henzoro Medical Clinic,Medical Clinic,Private Enterprise (Institution),Kwale,Kinango,Samburu,Samburu,Matope,KINANGO,Samburu,-3.79608,39.26382
2507,Heri Medical Centre,Medical Clinic,Private Enterprise (Institution),Kilifi,Kilifi North,Bahari,Ngerenya,Ngerenya,BAHARI,Tezo,-3.53395,39.87975
2508,Heri Medical Cilinic Bombolulu,Medical Clinic,Private Practice - Clinical Officer,Mombasa,Kisauni,Kisauni,Kongowea,Bombolulu,KISAUNI,Kongowea,-4.02573,39.69827
2509,Heri Tana Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Tana River,Tana Delta,Tarasaa,Ngao,Tarasaa,GARSEN,Tarasaa,-2.44341,40.16946
2510,Heritage Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Kiambu,Kikuyu,Kabete,Muguga,Muguga,KABETE,Kiambaa Market,-1.19994,36.65497
2511,Heshima Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Kirinyaga,Kirinyaga East,Gichugu,Ngariama,Rung'eto,GICHUGU,Githure,-0.447679,37.4127
2512,Heshima Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Nyeri,Mathira East,Mathira,Chehe, ,MATHIRA,Iriaini,-0.413289,37.1949
2513,Heshima Medical Clinic (Nakuru North),Medical Clinic,Private Practice - Nurse / Midwife,Nakuru,Nakuru North,Bahati,Bahati,Heshima,SUBUKIA,Heshima,-0.24221,36.11338
2514,Heshima Medical Clinic-Masinga,Medical Clinic,Private Practice - Nurse / Midwife,Machakos,Masinga,Masinga,Masinga,Masinga,MASINGA,Masinga,-0.97504,37.60517
2515,Hessed Clinic Masiro,Medical Clinic,Private Practice - Nurse / Midwife,Siaya,Siaya,Sihay,Sihay, ,UGENYA, ,0.15324,34.16074
2516,Hezeman Afya Bora,Laboratory (Stand-alone),Private Enterprise (Institution),Kirinyaga,Kirinyaga West,Ndia East,Mwirua,Gitaku,NDIA,Baricho,-0.5554,37.24198
2517,Hidaya Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Kilifi,Malindi,Malindi,Malindi,Barani,MALINDI,Malindi,-3.13066,40.07143
2518,Hifadhi Siha Clinic,Medical Clinic,Private Practice - General Practitioner,Kajiado,Isinya,KItengela,Kitengela,Kitengela,KAJIADO NORTH,Kitengela town,-1.49796,36.95462
2519,High Way Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Nyandarua,Nyandarua South,N Kinangop,Engineer,Engineer,KINANGOP,Engineer town,-0.60867,36.57848
2520,Highrise Medical Services,Medical Clinic,Private Practice - Nurse / Midwife,Mombasa,Kisauni,Kisauni,Bamburi,Shanzu,KISAUNI,Bamburi,-4.00463,39.71152
2521,Highway Clinic (Wajir East),Medical Clinic,Private Enterprise (Institution),Wajir,Wajir East,Central,Township,Township,WAJIR EAST,Wajir,1.75234,40.04821
2522,Highway Maternity and Nursing Home,Nursing Home,Private Enterprise (Institution),Kakamega,Kakamega Central (Lurambi),Municipality,Bukhungu,Shirere,LURAMBI,Kakamege Town,0.2823,34.75448
2523,Highway Mediacl Clinic (Nyeri North),Medical Clinic,Private Practice - Clinical Officer,Nyeri,Kieni East,Kieni East,Narumoru,Narumoru,KIENI,Narumoru,-0.17182,37.02046
2524,Highway Medical Clinic,Medical Clinic,Private Enterprise (Institution),Meru,Meru Central,Abothuguchi Central,Kariene,Gitauga,CENTRAL IMENTI,Kariene Market,-0.0403,37.66085
2525,High-Way Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Nyandarua,Kinangop,Kinangop,Engineer,Muruaki,KINANGOP,Engineer town,-0.36523,36.34582
2526,Highway Medical Clinic (Bungoma East),Medical Clinic,Private Enterprise (Institution),Bungoma,Bungoma East,Webuye,Webuye,Webuye,WEBUYE,Webuye,0.61103,34.76817
2527,Highway Medical Clinic (Kirinyaga),Medical Clinic,Private Practice - Clinical Officer,Kirinyaga,Kirinyaga Central,Central,Kerugoya,Kaguyu,KERUGOYA/KUTUS,Kerugoya,-0.50403,37.28047
2528,Highway Medical Clinic (Pokot Central),Medical Clinic,Private Practice - Nurse / Midwife,West Pokot,Pokot Central,Sigor,Sekerr,Orwa,SIGOR,Sigor,1.53375,35.44903
2529,Highway Medical Clinic (Trans Nzoia East),Medical Clinic,Private Practice - Clinical Officer,Trans Nzoia,Trans Nzoia East,Kaplamai,Sitatunga,Sitatunga,CHERANGANI,Kitale,1.09286,35.07694
2530,Highway Medical Clinic Iten,Medical Clinic,Private Practice - Nurse / Midwife,Elgeyo Marakwet,Keiyo,Kapchemutwa,Irong,Iten,KEIYO NORTH,Iten,0.669142,35.50582
2531,Highway Medical Clinic Kibingoti,Medical Clinic,Private Practice - Nurse / Midwife,Kirinyaga,Kirinyaga West,Ndia West,Kiini North,Nguguini,NDIA,Kibingoti,-0.528115,37.1871
2532,Highway Medical Clinic Maua,Medical Clinic,Private Practice - Clinical Officer,Meru,Igembe South,Maua,Maua,Amwathi,IGEMBE,Maua town,0.23644,37.93919
2533,Highway Medical Clinic Yatta,Medical Clinic,Private Practice - Nurse / Midwife,Machakos,Yatta, , , ,YATTA, ,-1.085,37.32524
2534,Highway Medical Enterprises,Laboratory (Stand-alone),Private Enterprise (Institution),Kirinyaga,Kirinyaga Central,Central,Kerugoya,Kaguyu,KERUGOYA/KUTUS,Kerugoya,-0.50402,37.28047
2535,Hilac Medical Clinic-Habaswein,Medical Clinic,Private Practice - Clinical Officer,Wajir,Habaswein,Habaswein,Habaswein,Habaswein,WAJIR SOUTH,Habaswein Trading Centre,1.012056,39.49029
2536,Hillcrest Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Uasin Gishu,Eldoret East,Ainabkoi Division,Olare,Olare,ELDORET EAST,Burnt Forest,0.21699,35.43436
2537,Hillday Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Nyandarua,Kipipiri,Wanjohi,Gitei,Gitei,KIPIPIRI,Wanjohi,-0.3664,36.54474
2538,Hillside medical centre,Medical Clinic,Private Practice - Medical Specialist,Machakos,Machakos,Mlolongo,Mlolongo,Mlolongo,KATHIANI,Mlolongo Market,-1.39083,36.9403
2539,Hillview Park Medical Clinic,Medical Clinic,Private Practice - General Practitioner,Baringo,Koibatek,Eldama Ravine,Ravine,Ravine,ELDAMA RAVINE,Eldama Ravine,0.05849,35.73451
2540,Hilwa Pharmacy and Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Garissa,Garissa, , , ,DUJIS, ,-0.44603,39.64379
2541,Hindi Magogoni Dispensary,Dispensary,Ministry of Health,Lamu,Lamu West,Hindi,Hindi,Hindi,LAMU WEST,Hindi,-2.1736,40.81062
2542,Hindi Prison Dispensary,Dispensary,Other Public Institution,Lamu,Lamu West,Hindi,Hindi,Hindi,LAMU WEST,Hindi,-2.18,40.82
2543,Hodhan Dispensary,Dispensary,Ministry of Health,Wajir,Wajir East,Central,Hodhan,Hodhan,WAJIR EAST,Hodhan village,1.73379,40.05611
2544,Hola District Hospital,District Hospital,Ministry of Health,Tana River,Galole,Galole,Zubaki,Kibuyu,GALOLE,Laza,-1.4988,40.03025
2545,Holale Medical Clinic ( Moyale),Medical Clinic,Private Practice - Clinical Officer,Marsabit,Moyale,Central,Township,Townshop,SAKU,Moyale,3.5215,39.0546
2546,Holiday Medical Clinic,Medical Clinic,Private Enterprise (Institution),Tharaka Nithi,Maara,Chogoria,Chogoria,Chogoria,THARAKA,Chogoria,-0.22961,37.6288
2547,Holo Dispensary,Dispensary,Ministry of Health,Kisumu,Nyando,Nyando,Awasi,Border II,NYANDO,Awasi Market,-0.16982,35.10123
2548,Holy Cross Dispensary,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Kiambu,Kikuyu,Limuru,Ndeiya,Thigio,LARI,Thigio,-1.18891,36.59773
2549,Holy Family Children's Home Dispensary,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Uasin Gishu,Eldoret East,Moben Division,Chepkoilel,Chepkoiliel,ELDORET EAST,Kimumu Trading centre,0.54812,35.3122
2550,Holy Family Dispensary,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Nyandarua,Nyandarua North,Ndaragwa,Ndaragwa,Kahutha,NDARAGWA,Nyahururu,-0.05193,36.52908
2551,Holy Family Mission Hospital Githunguri,Other Hospital,Kenya Episcopal Conference-Catholic Secretariat,Kiambu,Githunguri,Githunguri,Githunguri,Githunguri,GITHUNGURI,Githunguri,-1.05866,36.774
2552,Holy Family Nangina Hospital,Other Hospital,Kenya Episcopal Conference-Catholic Secretariat,Busia,Samia,Funyula,Nangosia,Sigulu,FUNYULA,Funyula,0.27749,34.10545
2553,Holy Family Oriang Mission Dispensary,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Homa Bay,Rachuonyo South,Kabondo,Kawuor,Kodhoch,KASIPUL/KABONDO,Misambi Market,-0.44541,34.92139
2554,Holy Rosary Ikinu Dispensary,Dispensary,Other Faith Based,Kiambu,Githunguri,Githunguri,Ikinu,Ikinu,GITHUNGURI,Githunguri,-1.09918,36.79877
2555,Holy Spirit Health Centre,Health Centre,Kenya Episcopal Conference-Catholic Secretariat,Nakuru,Gilgil,Gilgil,Gilgil,Gilgil,NAIVASHA,Gilgil,-0.50161,36.31971
2556,Holy Trinity Health Centre (Mai Mahiu),Health Centre,Kenya Episcopal Conference-Catholic Secretariat,Nakuru,Naivasha,Mai Mahiu,Longonot,Longonot,NAIVASHA,Longonot Centre,-0.88309,36.49163
2557,Homa Bay Central Widows VCT,VCT Centre (Stand-Alone),Private Practice - Nurse / Midwife,Homa Bay,Homa Bay,Asego,Homa bay Town,Homa Bay Town,RANGWE,Sofia,-0.54025,34.45585
2558,Homa Bay Community Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Homa Bay,Homa Bay,Asego,Homa bay Town,Arujo,RANGWE,Homa bay Town,-0.53058,34.45572
2559,Homa Bay County Teaching and Referral Hospital,District Hospital,Ministry of Health,Homa Bay,Homa Bay,Asego,Homa-Bay,Homa Bay Township,RANGWE,Homa-Bay,-0.53325,34.46121
2560,Homa Clinic,Medical Clinic,Private Enterprise (Institution),Homa Bay,Homa Bay,Asego,Homa-Bay Town,Township,RANGWE,Homa-Bay,-0.53108,34.45724
2561,Homa Hills Health Centre,Health Centre,Non-Governmental Organizations,Homa Bay,Rachuonyo North,West Karachuonyo,Kanam B,Kanyango,KARACHUONYO,Doho Market,-0.35379,34.46834
2562,Homa Lime Health Centre,Health Centre,Ministry of Health,Homa Bay,Rachuonyo North,West Karachuonyo,West Kadhimu,Koguta,KARACHUONYO,Doho Market,-0.43037,34.55277
2563,Homabay County Beyond Zero Mobile Clinic,Dispensary,Ministry of Health,Homa Bay,Homa Bay,TownShip,Township,Township,RANGWE,Homabay Town,-0.53325,34.46121
2564,Home Ground Nursing Home,Nursing Home,Private Practice - Clinical Officer,Siaya,Ugunja,Ugunja,Central Ugenya,Ugunja,UGENYA,Ugunja,0.10847,34.1707
2565,Homebase Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Kwale,Kinango,Kinango,Kinango,Kinango,KINANGO,Kinango,-4.13919,39.31985
2566,Hongo Ogosa Health Centre,Health Centre,Ministry of Health,Kisumu,Nyando,Kadibo,Katho,Kamayoga,NYANDO,Ahero,-0.18603,34.89364
2567,Hongwe Catholic Dispensary,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Lamu,Lamu West,Mpeketoni,Hongwe,Hongwe,LAMU WEST,Hongwe,-2.34712,40.66515
2568,Hongwe Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Lamu,Lamu West,Mpeketoni,Hongwe,Hongwe,LAMU WEST,Hongwe,-2.34528,40.6626
2569,Hono Clinic,Dispensary,Local Authority,Nairobi,Makadara,Makadara,Jericho- Lumumba,Lumumba,MAKADARA,Jericho Market,-1.28675,36.87106
2570,Hope and Health Medical Services,Medical Clinic,Private Practice - Clinical Officer,Kiambu,Limuru,Limuru,Limuru,Limuru,LIMURU,limuru,-1.11358,36.64231
2571,Hope Community VCT,VCT Centre (Stand-Alone),Other Faith Based,Nairobi,Dagoretti South,Dagoretti,Riruta setlite, ,DAGORETTI SOUTH,Nairobi,-1.25151,36.7152
2572,Hope Compassionate (ACK) Dispensary,Dispensary,Christian Health Association of Kenya,Homa Bay,Homa Bay,Asego,Homa Bay Town,Asego,RANGWE,Homa Bay town,-0.53423,34.46021
2573,Hope for today VCT Centre (sosiot),VCT Centre (Stand-Alone),Ministry of Health,Kericho,Belgut,Belgut,waldai,sosiot,BELGUT,Sosiot,-0.36358,35.17189
2574,Hope Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Kiambu,Limuru,limuru,Ndeiya,Thigio,LIMURU,Nduma,-1.1136,36.64228
2575,Hope Medical Clinic ( Githurai),Medical Clinic,Private Practice - General Practitioner,Nairobi,Roysambu,Kasarani,Githurai,Githurai,ROYSAMBU,just behind auncle sams bar,-1.19973,36.90362
2576,Hope Medical Clinic (Babadogo),Medical Clinic,Private Practice - Nurse / Midwife,Nairobi,Ruaraka,kasrani,Ruaraka, Ruaraka,RUARAKA, babadogo h/c,-1.24781,36.88563
2577,Hope Medical Clinic (Gatundu South),Medical Clinic,Private Practice - Nurse / Midwife,Kiambu,Gatundu,Gatundu South,Kiganjo,Kiganjo,GATUNDU SOUTH,Gatundutown,-0.99549,36.84959
2578,Hope Medical Clinic (Kigumo),Medical Clinic,Private Practice - Nurse / Midwife,Murang'a,Kigumo,Kigumo,Kigumo,Iriguini,KIGUMO,Iriguini,-0.793579,36.965
2579,Hope Medical Clinic (Kilindini),Medical Clinic,Private Enterprise (Institution),Mombasa,Changamwe,Changamwe,Miritini,Kwa Jomvu,CHANGAMWE,Mombasa,-3.98311,39.5958
2580,Hope Medical Clinic (Kirinyaga),Medical Clinic,Private Practice - Nurse / Midwife,Kirinyaga,Kirinyaga West,Ndia West,Kiini,Nguguini,NDIA,Kibirigwi market,-0.5649,37.18776
2581,Hope Medical Clinic (Loitokitok),Medical Clinic,Private Practice - Clinical Officer,Kajiado,Loitoktok,Central,Ololopon,Ololopon,KAJIADO SOUTH,Loitokitok Town,-2.92725,37.51135
2582,Hope Medical Clinic (Mariakani),Medical Clinic,Private Practice - Clinical Officer,Kilifi,Kaloleni,Mariakani,Mariakani,Mitangoni,KALOLENI,Mariakani,-3.86167,39.47307
2583,Hope Medical Clinic (Nakuru),Medical Clinic,Private Practice - Nurse / Midwife,Nakuru,Nakuru North,Bahati,Kiamaina,Heshima,SUBUKIA,Heshima,-0.225,36.11283
2584,Hope Medical Clinic Yatta,Medical Clinic,Private Enterprise (Institution),Machakos,Yatta,Yatta,Kithimani,Kithimani,YATTA,Kithimani,-1.10894,37.22735
2585,Hope Medical Laboratory,Laboratory (Stand-alone),Private Practice - Unspecified,Meru,Buuri,Timau,Timau,Kithithina,NORTH IMENTI,Timau,0.15419,37.6574
2586,Hope Nursing Home,Nursing Home,Private Enterprise (Institution),Kajiado,Kajiado North,Ngong,Rongai,Nkamwarunya,KAJIADO NORTH,Ongata Rongai,-1.23319,36.4538
2587,Hope World Wide,Medical Clinic,Private Enterprise (Institution),Uasin Gishu,Eldoret West,Turbo,Kapyemit,Kapyemit,ELDORET NORTH,Eldoret,0.48474,35.28027
2588,Hope World Wide (Makindu),VCT Centre (Stand-Alone),Non-Governmental Organizations,Makueni,Makindu,Makindu,Makindu,Manyatta,KIBWEZI,Makindu,-2.27988,37.91828
2589,Hope World Wide Kenya Mukuru Clinic,Dispensary,Non-Governmental Organizations,Nairobi,Embakasi South,Embakasi,Mukuru,Imara Daima,EMBAKASI SOUTH, ,-1.31417,36.87128
2590,Hope World Wide Nakuru,Medical Clinic,Other Faith Based,Nakuru,Nakuru,Nakuru Municipality,Bondeni,Freehold,NAKURU TOWN,Along KANU Street,-0.30012,36.07516
2591,Hope Worldwide Htc Centre,VCT Centre (Stand-Alone),Non-Governmental Organizations,Kajiado,Loitoktok,Central,Ololopon,Ololopon,KAJIADO SOUTH,Loitokitok Town,-2.92683,37.51142
2592,Hope Worldwide Kenya VCT (Makadara),VCT Centre (Stand-Alone),Non-Governmental Organizations,Nairobi,Makadara,Makadara,Maringo,Maringo,MAKADARA,Maringo Shopping Centre,-1.29293,36.86483
2593,Horeb Medical Clinic ( Hunters),Medical Clinic,Private Practice - General Practitioner,Nairobi,Kasarani,Kasarani,kasarani,kasarani,KASARANI,Next to Equity bank Hunters,-1.22518,36.91965
2594,Horesha Medicalicare,Medical Clinic,Private Enterprise (Institution),Taita Taveta,Mwatate,Mwatate,Mwatate,Mwatate,MWATATE,Mwatate,-3.50941,38.37919
2595,Horseet Medical Clinic,Medical Clinic,Private Enterprise (Institution),Nairobi,Kamukunji,Eastleigh North,Eastleigh North,Eastleigh North,KAMUKUNJI,Garissa Lodge,-1.27461,36.85059
2596,Hosana Medical Clinic,Medical Clinic,Private Enterprise (Institution),Kwale,Kinango,Kinango,Kinango,Kinango,KINANGO,Kinango,-4.1207,39.3133
